evaluation_window,method,observations,xg_mae,xg_rmse,goal_mae,goal_rmse,mean_predicted_xg,mean_actual_xg
GW10-38 rolling,Full-season observed (hindsight),580,0.5541151253588192,0.7108431083434172,0.8820051099628206,1.091634330354216,1.34017271910364,1.41501724137931
GW10-38 rolling,Expanding fitted team-shrunk,580,0.5563476286054965,0.7177388899913403,0.8857253535335541,1.094622979603902,1.3316620295829793,1.41501724137931
GW10-38 rolling,Expanding fitted,580,0.5574433461839543,0.7175252955194786,0.8847102680573702,1.094398224414496,1.3299131614680215,1.41501724137931
GW10-38 rolling,Mild preset,580,0.565261050758125,0.7221582961669671,0.8976343896096532,1.1024390877560606,1.3599022554147824,1.41501724137931
GW10-38 rolling,Neutral 1.0,580,0.5819955987479799,0.7426577727194767,0.913581982583409,1.1185255700917003,1.3643062287622478,1.41501724137931
GW20-38 holdout,GW1-19 fitted,380,0.5246303642060383,0.6779046328042906,0.865616665120538,1.0658973015255502,1.3374209566579323,1.4116052631578941
GW20-38 holdout,Full-season observed (hindsight),380,0.5252623281392348,0.6764886442458351,0.8665060820985212,1.0652089495693486,1.3522840380096042,1.4116052631578941
GW20-38 holdout,GW1-19 fitted team-shrunk,380,0.5253617534808633,0.6793842496300875,0.8694058839557477,1.0676090837169359,1.33971552850283,1.4116052631578941
GW20-38 holdout,Mild preset,380,0.5376173592917759,0.6898167007399064,0.8830866470910917,1.0761014049531272,1.3744678074945538,1.4116052631578941
GW20-38 holdout,Neutral 1.0,380,0.5572540413569261,0.71248187982259,0.8982474601321986,1.0927699326614948,1.3802537981171248,1.4116052631578941
