classification,official_fdr,outcome_quintile,matches
Global GD quintile,1,1,19
Global GD quintile,1,2,8
Global GD quintile,1,3,8
Global GD quintile,1,4,3
Global GD quintile,1,5,0
Global GD quintile,2,1,34
Global GD quintile,2,2,15
Global GD quintile,2,3,24
Global GD quintile,2,4,14
Global GD quintile,2,5,8
Global GD quintile,3,1,90
Global GD quintile,3,2,104
Global GD quintile,3,3,88
Global GD quintile,3,4,88
Global GD quintile,3,5,86
Global GD quintile,4,1,8
Global GD quintile,4,2,21
Global GD quintile,4,3,28
Global GD quintile,4,4,40
Global GD quintile,4,5,36
Global GD quintile,5,1,1
Global GD quintile,5,2,4
Global GD quintile,5,3,4
Global GD quintile,5,4,7
Global GD quintile,5,5,22
Global xGD quintile,1,1,22
Global xGD quintile,1,2,10
Global xGD quintile,1,3,4
Global xGD quintile,1,4,1
Global xGD quintile,1,5,1
Global xGD quintile,2,1,36
Global xGD quintile,2,2,20
Global xGD quintile,2,3,18
Global xGD quintile,2,4,12
Global xGD quintile,2,5,9
Global xGD quintile,3,1,85
Global xGD quintile,3,2,104
Global xGD quintile,3,3,93
Global xGD quintile,3,4,98
Global xGD quintile,3,5,76
Global xGD quintile,4,1,9
Global xGD quintile,4,2,15
Global xGD quintile,4,3,31
Global xGD quintile,4,4,33
Global xGD quintile,4,5,45
Global xGD quintile,5,1,0
Global xGD quintile,5,2,3
Global xGD quintile,5,3,6
Global xGD quintile,5,4,8
Global xGD quintile,5,5,21
Team-relative GD quintile,1,1,20
Team-relative GD quintile,1,2,7
Team-relative GD quintile,1,3,8
Team-relative GD quintile,1,4,3
Team-relative GD quintile,1,5,0
Team-relative GD quintile,2,1,35
Team-relative GD quintile,2,2,17
Team-relative GD quintile,2,3,19
Team-relative GD quintile,2,4,15
Team-relative GD quintile,2,5,9
Team-relative GD quintile,3,1,97
Team-relative GD quintile,3,2,108
Team-relative GD quintile,3,3,79
Team-relative GD quintile,3,4,99
Team-relative GD quintile,3,5,73
Team-relative GD quintile,4,1,7
Team-relative GD quintile,4,2,26
Team-relative GD quintile,4,3,28
Team-relative GD quintile,4,4,34
Team-relative GD quintile,4,5,38
Team-relative GD quintile,5,1,1
Team-relative GD quintile,5,2,2
Team-relative GD quintile,5,3,6
Team-relative GD quintile,5,4,9
Team-relative GD quintile,5,5,20
Team-relative xGD quintile,1,1,22
Team-relative xGD quintile,1,2,8
Team-relative xGD quintile,1,3,6
Team-relative xGD quintile,1,4,2
Team-relative xGD quintile,1,5,0
Team-relative xGD quintile,2,1,38
Team-relative xGD quintile,2,2,24
Team-relative xGD quintile,2,3,14
Team-relative xGD quintile,2,4,12
Team-relative xGD quintile,2,5,7
Team-relative xGD quintile,3,1,89
Team-relative xGD quintile,3,2,111
Team-relative xGD quintile,3,3,89
Team-relative xGD quintile,3,4,95
Team-relative xGD quintile,3,5,72
Team-relative xGD quintile,4,1,11
Team-relative xGD quintile,4,2,15
Team-relative xGD quintile,4,3,24
Team-relative xGD quintile,4,4,39
Team-relative xGD quintile,4,5,44
Team-relative xGD quintile,5,1,0
Team-relative xGD quintile,5,2,2
Team-relative xGD quintile,5,3,7
Team-relative xGD quintile,5,4,12
Team-relative xGD quintile,5,5,17
