team,fdr,matches,team_median_xg,mean_xg,median_xg,attack_factor_vs_team_median_xg,team_median_xga,mean_xga,median_xga,defensive_factor_vs_team_median_xga,mean_goal_difference,mean_xg_difference
Arsenal,1,2,1.7650000000000001,1.155,1.155,0.6543909348441926,0.565,0.28500000000000003,0.28500000000000003,1.9824561403508767,1.0,0.8700000000000001
Arsenal,2,5,1.7650000000000001,2.232,2.42,1.2645892351274788,0.565,0.312,0.29,1.8108974358974357,2.4,1.9200000000000004
Arsenal,3,24,1.7650000000000001,1.8150000000000004,1.8900000000000001,1.028328611898017,0.565,0.7324999999999999,0.6599999999999999,0.7713310580204779,1.25,1.0824999999999998
Arsenal,4,6,1.7650000000000001,1.0216666666666667,1.01,0.5788479697828139,0.565,1.2383333333333333,1.15,0.45625841184387617,0.16666666666666666,-0.21666666666666665
Arsenal,5,1,1.7650000000000001,1.62,1.62,0.9178470254957507,0.565,1.36,1.36,0.41544117647058815,-1.0,0.26
Aston Villa,1,2,1.125,1.0499999999999998,1.0499999999999998,0.9333333333333331,1.26,0.445,0.445,2.831460674157303,1.0,0.605
Aston Villa,2,5,1.125,1.6919999999999997,1.46,1.5039999999999998,1.26,1.316,1.35,0.9574468085106382,0.2,0.3759999999999999
Aston Villa,3,23,1.125,1.0956521739130434,1.05,0.9739130434782608,1.26,1.4034782608695653,1.21,0.8977695167286245,0.30434782608695654,-0.3078260869565217
Aston Villa,4,6,1.125,1.2816666666666667,0.905,1.1392592592592594,1.26,1.5116666666666667,1.4449999999999998,0.8335170893054024,-0.16666666666666666,-0.23000000000000007
Aston Villa,5,2,1.125,2.2199999999999998,2.2199999999999998,1.9733333333333332,1.26,2.255,2.255,0.5587583148558759,-1.0,-0.03500000000000003
Bournemouth,1,2,1.6,1.5,1.5,0.9375,1.34,0.42000000000000004,0.42000000000000004,3.1904761904761902,0.5,1.08
Bournemouth,2,5,1.6,2.2640000000000002,1.71,1.415,1.34,1.1320000000000001,1.38,1.1837455830388692,0.4,1.1320000000000001
Bournemouth,3,23,1.6,1.5326086956521738,1.45,0.9578804347826086,1.34,1.4965217391304346,1.28,0.8954096455549101,0.391304347826087,0.03608695652173911
Bournemouth,4,6,1.6,1.6900000000000002,1.655,1.0562500000000001,1.34,1.805,1.5899999999999999,0.7423822714681441,-1.1666666666666667,-0.11499999999999995
Bournemouth,5,2,1.6,0.955,0.955,0.5968749999999999,1.34,2.27,2.27,0.5903083700440529,-0.5,-1.315
Brentford,1,2,1.5150000000000001,2.81,2.81,1.8547854785478546,1.3250000000000002,1.17,1.17,1.1324786324786327,1.0,1.6400000000000001
Brentford,2,5,1.5150000000000001,1.95,2.25,1.287128712871287,1.3250000000000002,1.2659999999999998,1.29,1.0466034755134284,1.8,0.684
Brentford,3,22,1.5150000000000001,1.656818181818182,1.56,1.0936093609360935,1.3250000000000002,1.3281818181818184,1.22,0.9976043805612594,-0.045454545454545456,0.32863636363636367
Brentford,4,7,1.5150000000000001,1.09,1.17,0.7194719471947195,1.3250000000000002,1.6271428571428572,1.36,0.8143107989464443,-0.2857142857142857,-0.5371428571428571
Brentford,5,2,1.5150000000000001,0.29000000000000004,0.29000000000000004,0.19141914191419143,1.3250000000000002,2.35,2.35,0.5638297872340426,-2.5,-2.06
Brighton,1,2,1.4449999999999998,1.5350000000000001,1.5350000000000001,1.0622837370242217,1.18,0.395,0.395,2.9873417721518982,2.5,1.1400000000000001
Brighton,2,5,1.4449999999999998,1.784,1.87,1.2346020761245677,1.18,0.892,0.88,1.3228699551569505,1.0,0.892
Brighton,3,23,1.4449999999999998,1.5634782608695652,1.48,1.0819918760343012,1.18,1.3521739130434782,1.2,0.872668810289389,0.13043478260869565,0.21130434782608698
Brighton,4,6,1.4449999999999998,1.21,0.97,0.8373702422145329,1.18,1.2733333333333332,1.37,0.9267015706806283,-1.0,-0.06333333333333335
Brighton,5,2,1.4449999999999998,0.98,0.98,0.6782006920415226,1.18,2.675,2.675,0.4411214953271028,-0.5,-1.6949999999999998
Burnley,1,1,0.865,0.98,0.98,1.1329479768786128,2.0,2.09,2.09,0.9569377990430623,0.0,-1.1099999999999999
Burnley,2,4,0.865,1.055,1.17,1.2196531791907514,2.0,1.6749999999999998,1.65,1.1940298507462688,0.75,-0.6199999999999999
Burnley,3,24,0.865,0.9670833333333331,0.9099999999999999,1.1180154142581886,2.0,1.949166666666666,1.96,1.0260795211628904,-1.1666666666666667,-0.9820833333333332
