team,gd_q20,gd_q40,gd_q60,gd_q80,xgd_q20,xgd_q40,xgd_q60,xgd_q80
Arsenal,0.0,1.0,1.0,2.6000000000000014,0.024000000000000025,0.496,1.3900000000000001,1.7160000000000002
Aston Villa,-1.0,0.0,1.0,1.0,-0.736,-0.266,0.12199999999999986,0.442
Bournemouth,0.0,0.0,0.0,1.0,-0.9239999999999999,0.028000000000000032,0.43399999999999994,1.174
Brentford,-2.0,0.0,0.0,2.0,-0.4340000000000001,-0.06200000000000005,0.46200000000000013,1.2360000000000002
Brighton,-1.0,0.0,0.0,1.6000000000000014,-0.528,-0.1799999999999999,0.47199999999999975,0.9620000000000002
Burnley,-2.0,-1.0,-1.0,0.0,-1.984,-1.28,-1.0659999999999998,-0.37199999999999955
Chelsea,-1.0,0.0,0.0,2.0,-0.6640000000000001,-0.19399999999999987,0.8520000000000001,1.31
Crystal Palace,-1.0,-0.1999999999999993,0.0,1.0,-0.7659999999999998,-0.039999999999999813,0.38000000000000006,1.06
Everton,-1.0,-0.1999999999999993,0.0,1.0,-1.012,-0.6439999999999999,-0.06800000000000014,0.5580000000000002
Fulham,-1.0,-1.0,0.1999999999999993,1.0,-0.8039999999999998,-0.31399999999999995,0.06399999999999995,0.3980000000000001
Leeds,-1.0,0.0,0.0,1.0,-1.354,-0.14799999999999977,0.48599999999999993,1.162
Liverpool,-1.0,0.0,1.0,1.6000000000000014,-0.43800000000000017,0.05400000000000007,0.542,1.2500000000000007
Man City,0.0,0.8000000000000007,1.0,3.0,-0.17599999999999988,0.49600000000000005,1.1500000000000001,1.552
Man Utd,0.0,0.0,1.0,1.0,-0.5940000000000001,0.0420000000000001,0.648,1.448
Newcastle,-1.0,-1.0,0.0,1.0,-1.148,0.008000000000000061,0.5540000000000002,1.0059999999999998
Nott'm Forest,-2.0,-1.0,0.0,2.0,-1.1340000000000001,-0.4119999999999999,0.027999999999999997,0.442
Spurs,-1.0,-1.0,0.0,1.0,-1.224,-0.44599999999999995,-0.020000000000000018,0.5380000000000001
Sunderland,-1.5999999999999996,0.0,0.0,1.0,-1.3360000000000003,-0.748,-0.15000000000000002,0.3360000000000001
West Ham,-2.0,-1.0,0.0,1.0,-1.524,-0.7400000000000001,-0.176,0.7260000000000005
Wolves,-2.0,-1.0,-1.0,0.0,-1.4,-0.6839999999999997,-0.2140000000000001,0.198
